F1;F2
0.00000010522099737262389;0.10928888008151379
0.0000005383336653430158;0.10668981846640829
0.000005848201912990543;0.11103365677061774
0.000007290890181538933;0.05302788027976482
0.0000008954594970575658;0.21279635063450472
0.00000012027363460964604;0.1874395839704573
0.000000049879519183210774;0.21128650205363228
0.000029020753644621536;0.0689879201749906
0.00000119158125311331;0.2133089519953211
0.0000018517178395724691;0.0016339340314474864
0.000013638938918109467;0.1226115716978075
0.0000004011924949261482;0.13677028373710723
